country,avg_health_expenditure,avg_life_expectancy
Samoa,176.1228717454546,70.12733332316081
Sao Tome and Principe,88.68397296636363,68.40952555338542
Saudi Arabia,966.948149246819,74.57290707212506
Senegal,49.50966115409091,64.84182034116803
Serbia,481.42100611636374,74.00356408321497
Seychelles,503.522435969091,73.12593067053592
Sierra Leone,48.73850987090907,55.31559666720304
Singapore,1806.3522338872729,81.67217058123964
Slovenia,1800.6064730554547,79.017196077289
Solomon Islands,85.13849379818183,64.56967717950994
South Africa,464.9083855359092,58.48440834970185
South Sudan,35.310195922000005,58.83716074625651
Spain,2386.342043790454,81.34274858416933
Sri Lanka,103.80227886499999,74.82016962224787
Sudan,55.07320373681819,66.49067185141824
Suriname,332.4138519990909,72.12819232362689
Sweden,4816.499034534545,81.1950674345999
Switzerland,7575.04889471,81.92641633929628
Syrian Arab Republic,58.58123666636364,69.36109675783099
Tajikistan,42.05625659727273,70.08621354536577
Thailand,176.2112768336364,74.84294521447384
Timor-Leste,67.6256597431579,67.15699928685238
Togo,33.470097802727274,59.69345711216782
Tonga,177.1941143386364,72.13363069476503
Trinidad and Tobago,779.1121423886362,72.8022558038885
Tunisia,214.09548568818175,76.0317435987068
Turkmenistan,297.34867130636366,67.71718447136156
Uganda,36.25864154590909,59.3409318634958
Ukraine,176.75822552772718,69.95228622898911
United Arab Emirates,1434.1599370786366,80.1215311686198
Uruguay,1062.891071666818,76.17602747136897
Uzbekistan,81.75147065363635,66.9133528507117
Vanuatu,90.44209965681819,66.25580937934645
Viet Nam,89.61873704772727,72.78485801003195
Zambia,54.78202173954547,55.438374028061375
Zimbabwe,87.6421753575,56.77161513434516
